Feature Id,Importances
City,29.056703693883907
SuperBuiltUpArea_sqft,21.643781973179344
BuiltUpArea_sqft,19.963726574689492
CarpetArea_sqft,8.37346907075161
PropertyType,7.368887107297865
Longitude,2.719727459978652
Locality,1.3807936513055852
Bathrooms,1.3591440282057412
BuildingType,1.3198599322467452
Furnishing,0.9967436716951863
BHK,0.9240031860622259
AgeYears,0.8626570416656295
YearBuilt,0.727308327981351
Latitude,0.6095012348370618
Parking,0.5513920645851714
TotalFloors,0.5338647581528964
Facing,0.5168668135342716
carpet_to_built_ratio,0.4116416600075231
Floor,0.3086932303331715
AmenitiesCount,0.22137310870774543
Balconies,0.05944795946560891
ListingID,0.04672207230555591
RERAID,0.0329498799723411
IsRERARegistered,0.010741499155055413
